Categoria,Nome Elemento,ID Elemento,Stato
Griglie,28,683554,1
Griglie,25,683560,1
Griglie,24,683562,1
Griglie,23,683564,1
Griglie,22,683568,1
Griglie,21,683570,1
Griglie,20,683572,1
Griglie,19,683574,1
Griglie,18,683576,1
Griglie,17,683578,1
Griglie,16,683580,1
Griglie,15,683582,1
Griglie,14,683584,1
Griglie,13,683586,1
Griglie,12,683588,1
Griglie,11,683590,1
Griglie,10,683592,1
Griglie,09,683594,1
Griglie,08,683596,1
Griglie,07,683598,1
Griglie,06,683600,1
Griglie,05,683602,1
Griglie,04,683604,1
Griglie,03,683606,1
Griglie,02,683608,1
Griglie,01,683610,1
Griglie,A,683612,1
Griglie,B,683614,1
Griglie,C,683616,1
Griglie,D,683618,1
Griglie,E,683620,1
Griglie,F,683622,1
Griglie,G,683624,1
Griglie,H,683626,1
Griglie,I,683628,1
Griglie,J,683630,1
Griglie,K,683632,1
Griglie,L,683634,1
Griglie,M,683636,1
Griglie,27,699145,1
Griglie,26,699147,1
Griglie,A',699149,1
Griglie,15',723824,1
Griglie,15'',723826,1
Griglie,B',723828,1
Griglie,E',723856,1
Griglie,21',723858,1
Griglie,12',732130,1
Griglie,13',732132,1
Griglie,D',812366,1
Griglie,A'',812672,1
Livelli,ST_LIV_PE_P00_-0.80m,666044,1
Livelli,ST_LIV_PE_P01_+5.08m,666660,1
Livelli,ST_LIV_PE_P02_+10.28m,666664,1
Livelli,ST_LIV_PE_PC2_+15.48m,666668,1
Livelli,ST_LIV_PE_PC1_+12.50m,686512,1
Livelli,ST_LIV_PE_PC2_+16.25m,700120,1
Livelli,ST_LIV_PE_PC3_+19.85m,700122,1
