Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Fase,Verifica,Stato
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,694999,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695060,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695177,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695552,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695553,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695554,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695555,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_400mm_CalcestruzzoArmato,695598,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695824,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695896,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,695976,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_200mm_CalcestruzzoArmato,696055,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696228,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696312,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696376,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696424,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696511,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696512,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696565,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,696756,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,697031,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,697760,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,697762,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,697763,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,697902,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,697948,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698114,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698115,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698116,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698117,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698208,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698209,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698210,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,698211,J002_SDP,Fase corretta,1
Pavimenti,Pavimento,ST_PAV_GET_250mm_CalcestruzzoArmato,699403,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,699623,J002_SDP,Fase corretta,1
Pavimenti,Pavimento,ST_PAV_GET_300mm_CalcestruzzoArmato,699838,J002_SDP,Fase corretta,1
Pavimenti,Pavimento,ST_PAV_GET_250mm_CalcestruzzoArmato,699994,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,713874,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,713875,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,713876,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,713976,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,714051,J002_SDP,Fase corretta,1
Muri,Muro di base,ST_MUR_POR_300mm_CalcestruzzoArmato,714094,J002_SDP,Fase corretta,1
Pavimenti,Pavimento,ST_PAV_GET_250mm_CalcestruzzoArmato,714920,J002_SDP,Fase corretta,1
Pavimenti,Pavimento,ST_PAV_GET_250mm_CalcestruzzoArmato,715078,J002_SDP,Fase corretta,1
