Nome Parametro,GUID Parametro,Stato
Sottodisciplina,Parametro non condiviso,0
View System Group,ce285fd5-ea3f-4cd7-acfe-1c9ac315ab85,0
View Type,1e06ec63-f939-41ee-b2f9-2994f70140c0,0
View Use Group,cc3a7a30-0cce-4921-b167-dbfa9c40654c,0
Disciplina,3cde7342-4ee7-45c0-90cb-372bbd6f0a0c,0
Date,d506ac0f-11d9-4de0-91f6-448f3923741f,0
TAV - Serie,fd965ecd-b6dd-4b64-a44f-6720e8f2131f,0
TAV - Tipologia elaborato,3f9226b1-6b41-495a-b53f-4c980c2af534,0
SR View Calculation Settings,e896cc88-7278-465b-bf3e-8a87c451dee4,0
SR Document GUID,9fb882db-e4c5-4441-a574-ed9ea59696e9,0
TAV - Codice edificio,4d20efd7-fdfc-41a6-b2f7-f5222e6a0a52,0
SEINGIM Code,b317e9bf-2fba-458a-91ba-a94828a29f12,0
Discipline,6ae8f112-a79c-480e-bbc9-2f760b30bc2f,0
SR View Calculation Settings,6dd85667-f746-49b8-b0c3-956ef6f4ed41,0
SR Document GUID,0b33b4e0-7ca3-43b5-bf37-faa469d6a2bc,0
MC Version Saved,8ec36484-f749-433d-a800-e96c39707968,0
MC Dataset,afc8c053-e40f-4b22-8a92-5a7603569774,0
MC Version Created,e4e990d2-e067-4d62-a35d-e4698bf3cbdb,0
MC Params Created,8e256484-f749-473d-a352-e96c48707668,0
Data_1,322a33a8-ec36-4830-838c-7ab5c1539615,0
Data_2,61552400-f032-4b11-b936-3c27e4d5ba9f,0
Data_3,507f2cff-a17a-4f72-b2f3-e9af6b3cf221,0
Descrizione_1,0f7baccc-da47-4ec0-b05a-fd6c42715a9e,0
Descrizione_3,efb657b2-4d13-4fe9-9836-f7e05987b076,0
Descrizione_2,ddf5b4dd-c5fb-41db-99be-6e7018ce61dc,0
Redatto_1,401571f6-79d5-4aef-88aa-ed1c99d5d65b,0
Redatto_2,f072a102-a8eb-43d1-806e-b32d1972bb9a,0
Redatto_3,f90ecd27-db44-44b2-b6a9-dcc7f286257e,0
REV_1,7d6a146f-e94e-439e-be71-336cc17a417b,0
REV_2,86e7e5fa-41b2-4775-b490-fcc6864ccc1d,0
REV_3,58699616-de6e-4dd7-9a91-9713038eb04a,0
Verificato_1,8f6d662c-62bb-4d7f-b8df-f51338aff684,0
Verificato_2,9e0a1888-107c-4723-b2e9-77612751e1ef,0
Verificato_3,619b50b3-eb8f-4e8a-898a-7f34bc797dba,0
Titolo Disciplina,088ebf43-b17c-4ebd-8996-2f99a0b3e2c0,0
Commessa,58ae6a46-93ec-43ad-b612-5ab72d21cdf0,0
Approvato_1,450b73c8-2d90-4520-a579-d98a2358826b,0
Fase,1660cf7f-3fb1-46ae-b4be-b3fc3ae80bad,0
Tipo,d15c0466-3a49-4008-b181-f89eb6c6eec4,0
Revisione tavola,fd5e1521-057c-453e-8197-9d8e2ad13bb1,0
