Categoria,Famiglia,Id Elemento,Stato
Annotazioni generiche,INC_AnnGen_Titolo,195502,1
Annotazioni generiche,INC_AnnGen_Titolo,219955,1
Annotazioni generiche,INC_AnnGen_Titolo,220684,1
Annotazioni generiche,INC_AnnGen_SimbSYMB Saldatura d'angolo,220946,1
Annotazioni generiche,INC_AnnGen_SimbSaldaturaSingolaConica,223727,1
Annotazioni generiche,INC_AnnGen_SimbSaldaturaSingolaV,225357,1
Elementi di dettaglio,INC_ElmDet_PiastraBasePilastro2Fori-ParteSuperiore,237151,1
Elementi di dettaglio,INC_ElmDet_PiastraBasePilastro4ForiCroce-ParteSuperiore,237953,1
Elementi di dettaglio,INC_ElmDet_PiastraRinforzo1Svasata-Prospetto,237961,1
Elementi di dettaglio,INC_ElmDet_PiastraRinforzo2Svasata-Prospetto,237969,1
Elementi di dettaglio,INC_ElmDet_PiastraRinforzoIrregolare1-Prospetto,237977,1
Elementi di dettaglio,INC_ElmDet_PiastraRinforzoIrregolare2-Prospetto,238107,1
Elementi di dettaglio,INC_ElmDet_PiastraRinforzoRettangolare-Prospetto,238115,1
Elementi di dettaglio,INC_ElmDet_PiastraRinforzoTrapezoidale-Prospetto,238158,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneBullonata2-Prospetto,238180,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneBullonata2-Prospetto,238221,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneBullonata3-Prospetto,238229,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneBullonata3-Prospetto,238237,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneBullonata1-Prospetto,238245,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneBullonata-Sezione,238396,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneSaldata-Prospetto,238541,1
Elementi di dettaglio,INC_ElmDet_ProfilatoL_ConnessioneSaldata-Sezione,238587,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,240325,1
Elementi di dettaglio,INC_ElmDet_BulloneTesta,240329,1
Elementi di dettaglio,INC_ElmDet_BulloneLato,240333,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,253489,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,253691,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,253703,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,253806,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,253813,1
Elementi di dettaglio,INC_ElmDet_BreakLine,254147,1
Elementi di dettaglio,INC_ElmDet_BulloneLato,255241,1
Elementi di dettaglio,INC_ElmDet_BreakLine,258233,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,301049,1
Elementi di dettaglio,INC_ElmDet_BreakLine,301084,1
Elementi di dettaglio,INC_ElmDet_BreakLine,301085,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,301105,1
Elementi di dettaglio,INC_ElmDet_BreakLine,302819,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,302820,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,302821,1
Elementi di dettaglio,INC_ElmDet_BreakLine,302861,1
Elementi di dettaglio,INC_ElmDet_BreakLine,302903,1
Elementi di dettaglio,INC_ElmDet_BreakLine,302904,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,302905,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303045,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303046,1
Elementi di dettaglio,INC_ElmDet_BreakLine,303067,1
Elementi di dettaglio,INC_ElmDet_BreakLine,303068,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303082,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303083,1
Elementi di dettaglio,INC_ElmDet_BreakLine,303096,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303206,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303207,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303208,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303228,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303229,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303230,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,303231,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,307162,1
Elementi di dettaglio,INC_ElmDet_Vite,307173,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,307205,1
Elementi di dettaglio,INC_ElmDet_Vite,307319,1
Elementi di dettaglio,INC_ElmDet_Vite,307322,1
Elementi di dettaglio,INC_ElmDet_Vite,307325,1
Elementi di dettaglio,INC_ElmDet_Vite,307328,1
Elementi di dettaglio,INC_ElmDet_Vite,307384,1
Elementi di dettaglio,INC_ElmDet_Vite,307430,1
Elementi di dettaglio,INC_ElmDet_Vite,307433,1
Elementi di dettaglio,INC_ElmDet_Vite,307436,1
Elementi di dettaglio,INC_ElmDet_Vite,307439,1
Elementi di dettaglio,INC_ElmDet_Distanziatori,313231,1
Elementi di dettaglio,INC_ElmDet_Hilti2Testa,313763,1
Elementi di dettaglio,INC_ElmDet_TipoIPE400,313896,1
Elementi di dettaglio,INC_ElmDet_M12Corpo,318343,1
Elementi di dettaglio,INC_ElmDet_BulloneLato,319443,1
Elementi di dettaglio,INC_ElmDet_BulloneLato,320084,1
Elementi di dettaglio,INC_ElmDet_BulloneTesta,320145,1
Elementi di dettaglio,INC_ElmDet_BulloneTesta,320242,1
Annotazioni generiche,INC_AnnGen_Titolo,352372,1
Annotazioni generiche,INC_AnnGen_Titolo,352375,1
Annotazioni generiche,INC_AnnGen_Titolo,352376,1
Annotazioni generiche,INC_AnnGen_Titolo,352377,1
Elementi di dettaglio,INC_ElmDet_BreakLine,352541,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,353180,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,353181,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,353182,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,353185,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,353186,1
Elementi di dettaglio,INC_ElmDet_BreakLine,353190,1
Elementi di dettaglio,INC_ElmDet_BulloneLato,353196,1
Elementi di dettaglio,INC_ElmDet_TipoL50x5,353384,1
Elementi di dettaglio,INC_ElmDet_TipoL50x5,353385,1
Elementi di dettaglio,INC_ElmDet_BulloneDado,353587,1
Elementi di dettaglio,INC_ElmDet_Hilti2Testa,355409,1
Elementi di dettaglio,INC_ElmDet_TipoUPN200,355511,1
Elementi di dettaglio,INC_ElmDet_M12Corpo,355522,1
Elementi di dettaglio,INC_ElmDet_TipoIPE400,355542,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,355859,1
Elementi di dettaglio,INC_ElmDet_Vite,355870,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,355902,1
Elementi di dettaglio,INC_ElmDet_Vite,355949,1
Elementi di dettaglio,INC_ElmDet_Vite,355952,1
Elementi di dettaglio,INC_ElmDet_Vite,355955,1
Elementi di dettaglio,INC_ElmDet_Vite,355958,1
Elementi di dettaglio,INC_ElmDet_Vite,355982,1
Elementi di dettaglio,INC_ElmDet_Vite,356028,1
Elementi di dettaglio,INC_ElmDet_Vite,356031,1
Elementi di dettaglio,INC_ElmDet_Vite,356034,1
Elementi di dettaglio,INC_ElmDet_Vite,356037,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,357121,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ8,365946,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ8,365947,1
Elementi di dettaglio,INC_ElmDet_TipoHEA400,375837,1
Elementi di dettaglio,INC_ElmDet_ElementoCLS,376142,1
Elementi di dettaglio,INC_ElmDet_TipoHEA400,377491,1
Elementi di dettaglio,INC_ElmDet_BreakLine,379076,1
Elementi di dettaglio,INC_ElmDet_BreakLine,379077,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379078,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379168,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379169,1
Elementi di dettaglio,INC_ElmDet_BreakLine,379182,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379222,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379234,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379235,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379248,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379249,1
Elementi di dettaglio,INC_ElmDet_BreakLine,379262,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379293,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379294,1
Elementi di dettaglio,INC_ElmDet_BreakLine,379365,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379366,1
Elementi di dettaglio,INC_ElmDet_ReteElettrosaldataBasataSuLineaØ6,379367,1
