Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Fase,Verifica,Stato
Muri,Facciata continua,FA_SFC_MON_All_60x325_MoloP1NordCopertina95,723499,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725393,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725459,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725464,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725484,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725494,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725499,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725535,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725599,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725604,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725615,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725727,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725732,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725743,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725783,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725788,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725799,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725819,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725824,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725835,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725871,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725876,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725887,J002_SDP,Fase corretta,1
Pannelli di facciata continua,FA_PAF_CHI_All_InferioreCS,FA_PAF_CHI_All_InferioreCSMolo,725903,J002_SDP,Fase corretta,1
Montanti della facciata continua,Rectangular Mullion,FA_MON_RET_All_60x325_FWS60Vetro45Guar9NoCap,725908,J002_SDP,Fase corretta,1
Griglia di facciata continua,,,725917,J002_SDP,Fase corretta,1
