Categoria,Nome Elemento,ID Elemento,Livello Base,Livello Superiore,Offset Base,Offset Superiore,Verifica,Stato
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,1446798,AR_LIV_PE_P00_+0.00m,-,-,0.0,Oggetto conforme.,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,1446801,AR_LIV_PE_P00_+0.00m,-,-,0.0,Oggetto conforme.,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,1446804,AR_LIV_PE_P00_+0.00m,-,-,0.0,Oggetto conforme.,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,1446810,AR_LIV_PE_P00_+0.00m,-,-,0.0,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1486661,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1503321,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1506633,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1506669,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1506683,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508252,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_T,1508254,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508263,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508264,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508277,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508291,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508300,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508362,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_T,1508364,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508373,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508374,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508387,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508401,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508410,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508472,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Raccordi condotto,IM_COL_RET_Lzi_T,1508474,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508483,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,1508484,AR_LIV_PE_P01_+5.20m,-,-,6.6900000000000004,Oggetto sopra l'interpiano.,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508497,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508511,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1508520,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,1509953,AR_LIV_PE_P02_+10.40m,-,-,1.1299999999999999,Oggetto conforme.,1
