Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Fase,Verifica,Stato
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446798,J002_SDP,Fase corretta,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446801,J002_SDP,Fase corretta,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446804,J002_SDP,Fase corretta,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446810,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1486661,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1486797,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1502737,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1502755,J002_SDP,Fase corretta,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1503321,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506596,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506600,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506608,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506609,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506633,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506634,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506638,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506641,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506643,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506645,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506646,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506669,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506670,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506674,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506677,J002_SDP,Fase corretta,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506679,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506681,J002_SDP,Fase corretta,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506682,J002_SDP,Fase corretta,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506683,J002_SDP,Fase corretta,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506684,J002_SDP,Fase corretta,1
