Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Verifica,Stato
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446798,Corretto,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446801,Corretto,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446804,Corretto,1
Attrezzatura meccanica,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446810,Corretto,1
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1486661,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1486797,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1502737,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1502755,Corretto,1
Raccordi condotto,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1503321,Corretto,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506596,Corretto,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506600,Corretto,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506608,IFC CLASS e IFC PREDEF TYPE errati,0
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506609,IFC CLASS e IFC PREDEF TYPE errati,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506633,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506634,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506638,Corretto,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506641,Corretto,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506643,Corretto,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506645,IFC CLASS e IFC PREDEF TYPE errati,0
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506646,IFC CLASS e IFC PREDEF TYPE errati,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506669,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506670,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506674,Corretto,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506677,Corretto,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506679,Corretto,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506681,IFC CLASS e IFC PREDEF TYPE errati,0
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506682,IFC CLASS e IFC PREDEF TYPE errati,0
Bocchettoni,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506683,Corretto,1
Condotto,Condotto rettangolare,SG_Rett zincato,1506684,Corretto,1
Condotto flessibile,Condotto flessibile circolare,Flessibile - Circolare,1506693,Corretto,1
Rivestimenti condotti,Rivestimento condotto,Pannello in fibra di vetro,1506696,IFC CLASS e IFC PREDEF TYPE errati,0
