Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Stato
OST_MechanicalEquipment,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446798,1
OST_MechanicalEquipment,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446801,1
OST_MechanicalEquipment,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446804,1
OST_MechanicalEquipment,IM_DIS_AME_SGS_Unità_IN,SGS_Unità_IN,1446810,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1486661,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1503321,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506633,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506669,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1506683,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508252,1
OST_DuctFitting,IM_COL_RET_Lzi_T,Default,1508254,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508263,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508264,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508277,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508291,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508300,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508362,1
OST_DuctFitting,IM_COL_RET_Lzi_T,Default,1508364,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508373,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508374,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508387,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508401,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508410,1
OST_DuctTerminal,IM_DIS_BOC_Diffusore lineare,Lenght 2000mm,1508472,1
OST_DuctFitting,IM_COL_RET_Lzi_T,Default,1508474,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508483,1
OST_DuctFitting,IM_COL_RET_Lzi_Calotta chiusura,20 cm,1508484,1
