Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Verifica,Stato
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,Standard,933470,Corretto,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4363815,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4363904,IFC CLASS errata,0
Attrezzatura elettrica,Trasformatore,2500 kVA,4367271,Corretto,1
Attrezzatura elettrica,Trasformatore,2500 kVA,4367338,Corretto,1
Attrezzatura elettrica,Trasformatore,2500 kVA,4367346,Corretto,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4369385,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4369409,IFC PREDEF TYPE errato,0
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4369433,IFC PREDEF TYPE errato,0
Attrezzatura elettrica,E_TD_Rack Dati,RACK 42U - 800x800,4371909,Corretto,1
Attrezzatura elettrica,E_TD_Rack Dati,RACK 42U - 800x800,4372013,Corretto,1
Attrezzatura elettrica,E_DP_UPS,UPS 250+50,4372132,Corretto,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4374153,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4374317,IFC CLASS errata,0
Attrezzatura elettrica,E_DP_UPS,UPS 2kVA,4375082,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388742,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388810,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4388820,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388863,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4388871,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388991,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388998,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4389010,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4389016,Corretto,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4389086,Corretto,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4389095,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392578,Corretto,1
Raccordi passerella,Channel Horizontal Tee,"12"" Radius",4392607,IFC PREDEF TYPE errato,0
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4392608,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392750,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392751,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392876,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392877,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399417,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399427,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399457,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399465,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399471,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399472,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399478,Corretto,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4399479,Corretto,1
Raccordi passerella,Channel Horizontal Bend,Standard,4399489,Corretto,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4399506,Corretto,1
Raccordi passerella,Channel Horizontal Tee,"12"" Radius",4399512,IFC PREDEF TYPE errato,0
