Nome Parametro,GUID Parametro,Stato
Sub-Discipline,Parametro non condiviso,0
IfcExportAs,8acc503a-2e76-4a49-ae93-414c330d429e,0
Sottodisciplina,Parametro non condiviso,0
MC Version Saved,8ec36484-f749-433d-a800-e96c39707968,0
SGS_Tipo di locale,ee5f76d1-315d-49ba-8fd1-60f4e77adef8,0
REI PARETI,Parametro non condiviso,0
Date,d506ac0f-11d9-4de0-91f6-448f3923741f,0
Discipline,6ae8f112-a79c-480e-bbc9-2f760b30bc2f,0
Notes,77f89001-d898-4d88-b08f-f5832b884eac,0
Revision,ba11bff1-505e-4845-a725-682252b68c6b,0
Model Description,af650a11-08fb-4a58-9442-cc349a2cff90,0
PIANO,2a86057f-7a51-49ca-9d22-8673c1b85cda,0
Data_1,322a33a8-ec36-4830-838c-7ab5c1539615,0
Data_2,61552400-f032-4b11-b936-3c27e4d5ba9f,0
Data_3,507f2cff-a17a-4f72-b2f3-e9af6b3cf221,0
Descrizione_1,0f7baccc-da47-4ec0-b05a-fd6c42715a9e,0
Descrizione_3,efb657b2-4d13-4fe9-9836-f7e05987b076,0
Descrizione_2,ddf5b4dd-c5fb-41db-99be-6e7018ce61dc,0
Redatto_1,401571f6-79d5-4aef-88aa-ed1c99d5d65b,0
Redatto_2,f072a102-a8eb-43d1-806e-b32d1972bb9a,0
Redatto_3,f90ecd27-db44-44b2-b6a9-dcc7f286257e,0
REV_1,7d6a146f-e94e-439e-be71-336cc17a417b,0
REV_2,86e7e5fa-41b2-4775-b490-fcc6864ccc1d,0
REV_3,58699616-de6e-4dd7-9a91-9713038eb04a,0
Verificato_1,8f6d662c-62bb-4d7f-b8df-f51338aff684,0
Verificato_2,9e0a1888-107c-4723-b2e9-77612751e1ef,0
Verificato_3,619b50b3-eb8f-4e8a-898a-7f34bc797dba,0
Commessa,58ae6a46-93ec-43ad-b612-5ab72d21cdf0,0
Approvato_1,450b73c8-2d90-4520-a579-d98a2358826b,0
Approvato_2,0ff2f161-ec79-4956-aaad-c47f8a1fa9c8,0
Approvato_3,fa1f20b1-90ef-429b-9e5a-6e024fa6161e,0
SGS_Nome Apparecchiatura,6825e03e-06a2-4e57-8ebe-621501facda0,0
SGS_Formazione Cavo,c5428b06-8d04-4086-9581-f148b410f8a0,0
SGS_Browser1,0b399054-91cf-496d-87c2-4b8d6d1360e7,0
SGS_Browser2,21e0b8e8-97c8-4035-b31e-f9d14ee255a2,0
SGS_Zone EVAC,bf4bd785-5176-444f-a4e0-153421731c0e,0
SGS_Zone IRAI,5df9a43e-759e-498b-b011-e293a90d0e45,0
SGS_Zone ACCESS CONTROL,94f6c18b-a6f3-414c-a0b7-d5f0795155ab,0
SGS_Zone COMPARTMENTS,8927d848-0c3d-4b0c-9e9e-d3eb9f17945e,0
SGS_Zone LIGHT,10611664-12bb-4c4c-a044-71f0a95ae5f8,0
SGS_Zone PANEL BOARD,1efb5899-795e-4ffc-adcd-6eac2fe244c7,0
SGS_Zone DEPARTMENTS,6bac0aa4-7b74-4cc3-b8dd-35238e5f43cb,0
SGS_Zone RACK,a828316f-5bb1-4ad3-bb71-ac4df6571f40,0
SGS_Zone SPECIALS,d72291b1-a143-428d-93e6-56fa591722d3,0
SGS_Zone TVCC,e3476e6a-0f6f-4a52-aac4-95503d404bc9,0
SGS_Zone SECURITY,87e37654-c117-414c-a408-cb632629aa4c,0
MC Dataset,afc8c053-e40f-4b22-8a92-5a7603569774,0
MC Version Created,e4e990d2-e067-4d62-a35d-e4698bf3cbdb,0
MC Company Logo,d155dcd8-93e1-4bb9-84b6-16ccf6b4c7c7,0
MC Extra Offset for Provision,37fe4a4f-3878-4d8e-9b8f-ac8fdb0db589,0
MC Is Cable Route Start Point,39358b1e-bf8f-44d4-9be7-547e2e79a4a3,0
MC Devices In Group,70ec1a13-7824-449a-851c-e8aa5c78912f,0
MC Params Created,8e256484-f749-473d-a352-e96c48707668,0
EG_Coefficiente utilizzo/contemporaneità,25a0b419-5f40-4819-8d85-5cdd38e365e8,0
EG_Tensione,e79936a7-f84c-451e-9038-42a87b79fa4e,0
EG_Potenza nominale,1e80f804-6602-4bff-9f01-9cdddd47a183,0
EG_Fattore potenza,22bf9ad0-4e89-4c1b-af7d-eb812138ddae,0
EG_In,759c930a-0c0d-4d34-b923-9cc69fd7c512,0
SGS_Separator,306ab18b-d920-4be1-8ccd-712a2ad5bade,0
SGS_Build,124efd86-54ab-49ec-80b0-9db1eb7a9e2b,0
SGS_Level,e54ef2b1-10ff-4729-a3b5-91090cd7ff26,0
SGS_Zone,063b90a5-6cd2-4f9f-9b8b-2b010bc89187,0
SGS_MaterialCode,652e901d-1bb8-4abc-9237-6eae73ba37bd,0
SGS_PanelName,1fddc1ae-f8e4-4049-a137-864d9e41c6d3,0
SGS_ReferenceList,46991f4d-7afc-435a-bbfc-96b9e1d73024,0
