Categoria,Nome Famiglia,Nome Tipo,ID Elemento,Fase,Verifica,Stato
Raccordi passerella,SGS_TF_Perforated_Bend_Vertical Outside,Standard,933470,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4363815,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4363904,J002_SDP,Fase corretta,1
Attrezzatura elettrica,Trasformatore,2500 kVA,4367271,J002_SDP,Fase corretta,1
Attrezzatura elettrica,Trasformatore,2500 kVA,4367338,J002_SDP,Fase corretta,1
Attrezzatura elettrica,Trasformatore,2500 kVA,4367346,J002_SDP,Fase corretta,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4369385,J002_SDP,Fase corretta,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4369409,J002_SDP,Fase corretta,1
Raccordi condotto,M_Gomito rettangolare - Ad angolo,Standard,4369433,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_TD_Rack Dati,RACK 42U - 800x800,4371909,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_TD_Rack Dati,RACK 42U - 800x800,4372013,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_DP_UPS,UPS 250+50,4372132,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4374153,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_DP_Quadro elettrico,Switchboard_base,4374317,J002_SDP,Fase corretta,1
Attrezzatura elettrica,E_DP_UPS,UPS 250+50,4375082,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388742,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388810,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4388820,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388863,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4388871,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388991,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4388998,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4389010,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4389016,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4389086,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,Solid Bottom Cable Tray,4389095,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392578,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Tee,"12"" Radius",4392607,J002_SDP,Fase corretta,1
Passerelle,Passerella con raccordi,SGS_CTP02_Perforated_SGS_Cov,4392608,J002_SDP,Fase corretta,1
Raccordi passerella,Channel Horizontal Bend,Standard,4392750,J002_SDP,Fase corretta,1
